2014-02-22 17:30:13 Connection error, sleeping 1s...
2014-02-22 17:30:14 Connection error, sleeping 1s...
2014-02-22 17:30:15 Connection error, sleeping 1s...
2014-02-22 17:30:16 Connection error, sleeping 1s...
2014-02-22 17:30:17 Connection error, sleeping 1s...
2014-02-22 17:30:18 Connection error, sleeping 1s...
2014-02-22 17:30:20 Connection error, sleeping 1s...
2014-02-22 17:30:21 Connection error, sleeping 1s...
2014-02-22 17:30:22 Connection error, sleeping 1s...
2014-02-22 17:30:23 Connection error, sleeping 1s...
2014-02-22 17:30:24 Connection error, sleeping 1s...
2014-02-22 17:30:25 Connection error, sleeping 1s...
2014-02-22 17:30:26 Connection error, sleeping 1s...
2014-02-22 17:30:27 Connection error, sleeping 1s...
2014-02-22 17:30:28 Connection error, sleeping 1s...
2014-02-22 17:30:29 Connection error, sleeping 1s...
2014-02-22 17:30:30 Connection error, sleeping 1s...
2014-02-22 17:30:31 Connection error, sleeping 1s...
2014-02-22 17:30:32 Connection error, sleeping 1s...
2014-02-22 17:30:33 Connection error, sleeping 1s...
2014-02-22 17:30:34 Connection error, sleeping 1s...
2014-02-22 17:30:35 Connection error, sleeping 1s...
2014-02-22 17:30:37 Connection error, sleeping 1s...
2014-02-22 17:30:38 Connection error, sleeping 1s...
2014-02-22 17:30:39 Connection error, sleeping 1s...
2014-02-22 17:30:40 Connection error, sleeping 1s...
2014-02-22 17:30:41 Connection error, sleeping 1s...
2014-02-22 17:30:42 Connection error, sleeping 1s...
2014-02-22 17:30:43 Connection error, sleeping 1s...
2014-02-22 17:30:44 Connection error, sleeping 1s...
2014-02-22 17:30:45 Connection error, sleeping 1s...
2014-02-22 17:30:46 Connection error, sleeping 1s...
2014-02-22 17:30:47 Connection error, sleeping 1s...
2014-02-22 17:30:48 Connection error, sleeping 1s...
2014-02-22 17:30:49 Connection error, sleeping 1s...
2014-02-22 17:30:50 Connection error, sleeping 1s...
2014-02-22 17:30:51 Connection error, sleeping 1s...
2014-02-22 17:30:53 Connection error, sleeping 1s...
2014-02-22 17:30:54 Connection error, sleeping 1s...
2014-02-22 17:30:55 Connection error, sleeping 1s...
2014-02-22 17:30:56 Connection error, sleeping 1s...
2014-02-22 17:30:57 Connection error, sleeping 1s...
2014-02-22 17:30:58 Connection error, sleeping 1s...
2014-02-22 17:30:59 Connection error, sleeping 1s...
2014-02-22 17:31:00 Connection error, sleeping 1s...
2014-02-22 17:31:01 Connection error, sleeping 1s...
2014-02-22 17:31:02 Connection error, sleeping 1s...
2014-02-22 17:31:03 Connection error, sleeping 1s...
2014-02-22 17:31:04 Connection error, sleeping 1s...
2014-02-22 17:31:05 Connection error, sleeping 1s...
2014-02-22 17:31:06 Connection error, sleeping 1s...
2014-02-22 17:31:08 Connection error, sleeping 1s...
2014-02-22 17:31:09 Connection error, sleeping 1s...
2014-02-22 17:31:10 Connection error, sleeping 1s...
2014-02-22 17:31:11 Connection error, sleeping 1s...
2014-02-22 17:31:12 Connection error, sleeping 1s...
2014-02-22 17:31:13 Connection error, sleeping 1s...
2014-02-22 17:31:14 Connection error, sleeping 1s...
2014-02-22 17:31:15 Connection error, sleeping 1s...
2014-02-22 17:31:16 Connection error, sleeping 1s...
2014-02-22 17:31:17 Connection error, sleeping 1s...
2014-02-22 17:31:18 Connection error, sleeping 1s...
2014-02-22 17:31:19 Connection error, sleeping 1s...
2014-02-22 17:31:20 Connection error, sleeping 1s...
2014-02-22 17:31:22 Connection error, sleeping 1s...
2014-02-22 17:31:23 Connection error, sleeping 1s...
2014-02-22 17:31:24 Connection error, sleeping 1s...
2014-02-22 17:31:25 Connection error, sleeping 1s...
2014-02-22 17:31:26 Connection error, sleeping 1s...
2014-02-22 17:31:27 Connection error, sleeping 1s...
2014-02-22 17:41:40 Connection error, sleeping 1s...
2014-02-22 17:53:35 Connection error, sleeping 1s...
2014-02-22 17:53:36 Connection error, sleeping 1s...
2014-02-22 17:53:37 Connection error, sleeping 1s...
2014-02-22 17:53:41 Connection error, sleeping 1s...
2014-02-22 17:53:42 Connection error, sleeping 1s...
2014-02-22 17:55:31 Connection error, sleeping 1s...
2014-02-22 17:55:32 Connection error, sleeping 1s...
2014-02-22 17:55:33 Connection error, sleeping 1s...
2014-02-22 17:55:34 Connection error, sleeping 1s...
2014-02-22 17:55:35 Connection error, sleeping 1s...
2014-02-22 17:55:37 Connection error, sleeping 1s...
2014-02-22 17:55:38 Connection error, sleeping 1s...
2014-02-22 17:55:39 Connection error, sleeping 1s...
2014-02-22 17:55:40 Connection error, sleeping 1s...
2014-02-22 17:55:41 Connection error, sleeping 1s...
2014-02-22 17:55:42 Connection error, sleeping 1s...
2014-02-22 17:55:43 Connection error, sleeping 1s...
2014-02-22 17:55:44 Connection error, sleeping 1s...
2014-02-22 17:55:45 Connection error, sleeping 1s...
2014-02-22 17:55:46 Connection error, sleeping 1s...
2014-02-22 17:55:47 Connection error, sleeping 1s...
2014-02-22 17:55:48 Connection error, sleeping 1s...
2014-02-22 17:55:49 Connection error, sleeping 1s...
2014-02-22 17:55:50 Connection error, sleeping 1s...
2014-02-22 17:55:51 Connection error, sleeping 1s...
2014-02-22 17:55:53 Connection error, sleeping 1s...
2014-02-22 17:55:54 Connection error, sleeping 1s...
2014-02-22 17:55:55 Connection error, sleeping 1s...
2014-02-22 17:55:56 Connection error, sleeping 1s...
2014-02-22 17:55:57 Connection error, sleeping 1s...
2014-02-22 17:55:58 Connection error, sleeping 1s...
2014-02-22 17:55:59 Connection error, sleeping 1s...
2014-02-22 17:56:00 Connection error, sleeping 1s...
2014-02-22 17:56:01 Connection error, sleeping 1s...
2014-02-22 17:56:02 Connection error, sleeping 1s...
2014-02-22 17:56:03 Connection error, sleeping 1s...
2014-02-22 17:56:04 Connection error, sleeping 1s...
2014-02-22 17:56:05 Connection error, sleeping 1s...
2014-02-22 17:56:06 Connection error, sleeping 1s...
2014-02-22 17:56:08 Connection error, sleeping 1s...
2014-02-22 17:56:09 Connection error, sleeping 1s...
2014-02-22 17:56:10 Connection error, sleeping 1s...
2014-02-22 17:56:11 Connection error, sleeping 1s...
2014-02-22 17:56:12 Connection error, sleeping 1s...
2014-02-22 17:56:13 Connection error, sleeping 1s...
2014-02-22 17:56:14 Connection error, sleeping 1s...
2014-02-22 17:56:15 Connection error, sleeping 1s...
2014-02-22 17:56:16 Connection error, sleeping 1s...
2014-02-22 17:56:17 Connection error, sleeping 1s...
2014-02-22 17:56:18 Connection error, sleeping 1s...
2014-02-22 17:56:19 Connection error, sleeping 1s...
2014-02-22 17:56:20 Connection error, sleeping 1s...
2014-02-22 17:56:21 Connection error, sleeping 1s...
2014-02-22 17:56:22 Connection error, sleeping 1s...
2014-02-22 17:56:24 Connection error, sleeping 1s...
2014-02-22 17:56:25 Connection error, sleeping 1s...
2014-02-22 17:56:26 Connection error, sleeping 1s...
2014-02-22 17:56:27 Connection error, sleeping 1s...
2014-02-22 17:56:28 Connection error, sleeping 1s...
2014-02-22 17:56:29 Connection error, sleeping 1s...
2014-02-22 17:56:30 Connection error, sleeping 1s...
2014-02-22 17:56:31 Connection error, sleeping 1s...
2014-02-22 17:56:32 Connection error, sleeping 1s...
2014-02-22 17:56:33 Connection error, sleeping 1s...
2014-02-22 17:56:34 Connection error, sleeping 1s...
2014-02-22 17:56:35 Connection error, sleeping 1s...
2014-02-22 17:56:36 Connection error, sleeping 1s...
2014-02-22 17:56:37 Connection error, sleeping 1s...
2014-02-22 17:56:38 Connection error, sleeping 1s...
2014-02-22 17:56:45 Connection error, sleeping 1s...
2014-02-22 17:56:46 Connection error, sleeping 1s...
2014-02-22 18:03:28 Connection error, sleeping 1s...
2014-02-22 18:03:29 Connection error, sleeping 1s...
2014-02-22 18:04:12 Connection error, sleeping 1s...
2014-02-22 18:04:13 Connection error, sleeping 1s...
2014-02-22 18:04:14 Connection error, sleeping 1s...
2014-02-22 18:04:15 Connection error, sleeping 1s...
2014-02-22 18:04:16 Connection error, sleeping 1s...
2014-02-22 18:04:17 Connection error, sleeping 1s...
